Algorithms,MaxCost,TimeTaken,Parameters
TransformAndConquer,151,0.000004,5
SpaceAndTimeTradeOffs,151,0.000010,5
DynamicProgramming,151,0.000012,5
IterativeImprovement,151,0.000001,5
Greedy,151,0.000001,5
TransformAndConquer,234,0.000002,6
SpaceAndTimeTradeOffs,234,0.000009,6
DynamicProgramming,234,0.000019,6
IterativeImprovement,234,0.000001,6
Greedy,234,0.000000,6
TransformAndConquer,157,0.000001,7
SpaceAndTimeTradeOffs,157,0.000016,7
DynamicProgramming,157,0.000034,7
IterativeImprovement,157,0.000001,7
Greedy,157,0.000000,7
TransformAndConquer,258,0.000001,8
SpaceAndTimeTradeOffs,258,0.000014,8
DynamicProgramming,258,0.000025,8
IterativeImprovement,258,0.000001,8
Greedy,258,0.000000,8
TransformAndConquer,307,0.000001,9
SpaceAndTimeTradeOffs,307,0.000017,9
DynamicProgramming,307,0.000037,9
IterativeImprovement,307,0.000001,9
Greedy,307,0.000002,9
TransformAndConquer,255,0.000001,10
SpaceAndTimeTradeOffs,255,0.000020,10
DynamicProgramming,255,0.000044,10
IterativeImprovement,255,0.000001,10
Greedy,255,0.000000,10
TransformAndConquer,311,0.000000,11
SpaceAndTimeTradeOffs,311,0.000024,11
DynamicProgramming,311,0.000042,11
IterativeImprovement,311,0.000001,11
Greedy,311,0.000001,11
TransformAndConquer,443,0.000001,12
SpaceAndTimeTradeOffs,443,0.000044,12
DynamicProgramming,443,0.000050,12
IterativeImprovement,443,0.000002,12
Greedy,443,0.000001,12
TransformAndConquer,435,0.000000,13
SpaceAndTimeTradeOffs,435,0.000034,13
DynamicProgramming,435,0.000061,13
IterativeImprovement,435,0.000001,13
Greedy,435,0.000002,13
TransformAndConquer,338,0.000000,14
SpaceAndTimeTradeOffs,338,0.000039,14
DynamicProgramming,338,0.000067,14
IterativeImprovement,338,0.000002,14
Greedy,338,0.000000,14
TransformAndConquer,551,0.000001,15
SpaceAndTimeTradeOffs,551,0.000044,15
DynamicProgramming,551,0.000076,15
IterativeImprovement,551,0.000002,15
Greedy,551,0.000002,15
TransformAndConquer,570,0.000001,16
SpaceAndTimeTradeOffs,570,0.000049,16
DynamicProgramming,570,0.000085,16
IterativeImprovement,570,0.000002,16
Greedy,570,0.000002,16
TransformAndConquer,581,0.000001,17
SpaceAndTimeTradeOffs,581,0.000056,17
DynamicProgramming,581,0.000095,17
IterativeImprovement,581,0.000002,17
Greedy,581,0.000001,17
TransformAndConquer,629,0.000001,18
SpaceAndTimeTradeOffs,629,0.000061,18
DynamicProgramming,629,0.000107,18
IterativeImprovement,629,0.000004,18
Greedy,629,0.000001,18
TransformAndConquer,537,0.000002,19
SpaceAndTimeTradeOffs,537,0.000069,19
DynamicProgramming,537,0.000118,19
IterativeImprovement,537,0.000005,19
Greedy,537,0.000001,19
TransformAndConquer,591,0.000003,20
SpaceAndTimeTradeOffs,591,0.000076,20
DynamicProgramming,591,0.000132,20
IterativeImprovement,591,0.000003,20
Greedy,591,0.000002,20
TransformAndConquer,544,0.000001,21
SpaceAndTimeTradeOffs,544,0.000082,21
DynamicProgramming,544,0.000144,21
IterativeImprovement,544,0.000004,21
Greedy,544,0.000001,21
TransformAndConquer,686,0.000002,22
SpaceAndTimeTradeOffs,686,0.000090,22
DynamicProgramming,686,0.000157,22
IterativeImprovement,686,0.000004,22
Greedy,686,0.000002,22
TransformAndConquer,795,0.000001,23
SpaceAndTimeTradeOffs,795,0.000099,23
DynamicProgramming,795,0.000171,23
IterativeImprovement,795,0.000005,23
Greedy,795,0.000002,23
TransformAndConquer,864,0.000002,24
SpaceAndTimeTradeOffs,864,0.000106,24
DynamicProgramming,864,0.000191,24
IterativeImprovement,864,0.000004,24
Greedy,864,0.000001,24
TransformAndConquer,1575,0.000002,25
SpaceAndTimeTradeOffs,1575,0.000091,25
DynamicProgramming,1575,0.000178,25
IterativeImprovement,1575,0.000006,25
