Algorithms,MaxCost,TimeTaken,Parameters
TransformAndConquer,228,0.000000,5
SpaceAndTimeTradeOffs,228,0.000000,5
DynamicProgramming,228,0.000000,5
IterativeImprovement,228,0.000000,5
Greedy,228,0.000000,5
TransformAndConquer,171,0.000000,6
SpaceAndTimeTradeOffs,171,0.000000,6
DynamicProgramming,171,0.000000,6
IterativeImprovement,171,0.000000,6
Greedy,171,0.000000,6
TransformAndConquer,133,0.000000,7
SpaceAndTimeTradeOffs,133,0.000000,7
DynamicProgramming,133,0.000000,7
IterativeImprovement,133,0.000000,7
Greedy,133,0.000000,7
TransformAndConquer,294,0.000000,8
SpaceAndTimeTradeOffs,294,0.000000,8
DynamicProgramming,294,0.000000,8
IterativeImprovement,294,0.000000,8
Greedy,294,0.000000,8
TransformAndConquer,233,0.000000,9
SpaceAndTimeTradeOffs,233,0.000000,9
DynamicProgramming,233,0.000000,9
IterativeImprovement,233,0.000000,9
Greedy,233,0.000000,9
TransformAndConquer,304,0.000000,10
SpaceAndTimeTradeOffs,304,0.000000,10
DynamicProgramming,304,0.000000,10
IterativeImprovement,304,0.000000,10
Greedy,304,0.000000,10
TransformAndConquer,308,0.000000,11
SpaceAndTimeTradeOffs,308,0.000000,11
DynamicProgramming,308,0.000000,11
IterativeImprovement,308,0.000000,11
Greedy,308,0.000000,11
TransformAndConquer,283,0.000000,12
SpaceAndTimeTradeOffs,283,0.000000,12
DynamicProgramming,283,0.000000,12
IterativeImprovement,283,0.000000,12
Greedy,283,0.000000,12
TransformAndConquer,496,0.000000,13
SpaceAndTimeTradeOffs,496,0.000000,13
DynamicProgramming,496,0.000000,13
IterativeImprovement,496,0.000000,13
Greedy,496,0.000000,13
TransformAndConquer,423,0.000000,14
SpaceAndTimeTradeOffs,423,0.000000,14
DynamicProgramming,423,0.000000,14
IterativeImprovement,423,0.000000,14
Greedy,423,0.000000,14
TransformAndConquer,435,0.000000,15
SpaceAndTimeTradeOffs,435,0.000000,15
DynamicProgramming,435,0.000000,15
IterativeImprovement,435,0.000000,15
Greedy,435,0.000000,15
