Algorithms,MaxCost,TimeTaken,Parameters
TransformAndConquer,151,0.000004,5
SpaceAndTimeTradeOffs,151,0.000016,5
DynamicProgramming,151,0.000029,5
IterativeImprovement,151,0.000002,5
Greedy,151,0.000002,5
GeneticAlgorithm,151,0.066895,5
TransformAndConquer,57,0.000001,6
SpaceAndTimeTradeOffs,57,0.000008,6
DynamicProgramming,57,0.000014,6
IterativeImprovement,57,0.000001,6
Greedy,57,0.000000,6
GeneticAlgorithm,57,0.042228,6
TransformAndConquer,172,0.000001,7
SpaceAndTimeTradeOffs,172,0.000025,7
DynamicProgramming,172,0.000022,7
IterativeImprovement,172,0.000001,7
Greedy,172,0.000001,7
GeneticAlgorithm,172,0.038919,7
TransformAndConquer,227,0.000001,8
SpaceAndTimeTradeOffs,227,0.000016,8
DynamicProgramming,227,0.000042,8
IterativeImprovement,227,0.000002,8
Greedy,227,0.000001,8
GeneticAlgorithm,227,0.040943,8
TransformAndConquer,262,0.000001,9
SpaceAndTimeTradeOffs,262,0.000026,9
DynamicProgramming,262,0.000034,9
IterativeImprovement,262,0.000001,9
Greedy,262,0.000001,9
GeneticAlgorithm,262,0.058442,9
TransformAndConquer,332,0.000003,10
SpaceAndTimeTradeOffs,332,0.000033,10
DynamicProgramming,332,0.000042,10
IterativeImprovement,332,0.000001,10
Greedy,332,0.000001,10
GeneticAlgorithm,332,0.053003,10
TransformAndConquer,373,0.000001,11
SpaceAndTimeTradeOffs,373,0.000030,11
DynamicProgramming,373,0.000045,11
IterativeImprovement,373,0.000002,11
Greedy,373,0.000002,11
GeneticAlgorithm,373,0.048385,11
TransformAndConquer,352,0.000002,12
SpaceAndTimeTradeOffs,352,0.000044,12
DynamicProgramming,352,0.000066,12
IterativeImprovement,352,0.000003,12
Greedy,352,0.000010,12
GeneticAlgorithm,352,0.051759,12
TransformAndConquer,346,0.000002,13
SpaceAndTimeTradeOffs,346,0.000042,13
DynamicProgramming,346,0.000069,13
IterativeImprovement,346,0.000002,13
Greedy,346,0.000009,13
GeneticAlgorithm,346,0.048821,13
TransformAndConquer,414,0.000001,14
SpaceAndTimeTradeOffs,414,0.000053,14
DynamicProgramming,414,0.000080,14
IterativeImprovement,414,0.000003,14
Greedy,414,0.000001,14
GeneticAlgorithm,414,0.047630,14
TransformAndConquer,523,0.000003,15
SpaceAndTimeTradeOffs,523,0.000056,15
DynamicProgramming,523,0.000095,15
IterativeImprovement,523,0.000003,15
Greedy,523,0.000001,15
GeneticAlgorithm,523,0.048431,15
TransformAndConquer,490,0.000002,16
SpaceAndTimeTradeOffs,490,0.000055,16
DynamicProgramming,490,0.000103,16
IterativeImprovement,490,0.000004,16
Greedy,490,0.000002,16
GeneticAlgorithm,490,0.067380,16
TransformAndConquer,622,0.000001,17
SpaceAndTimeTradeOffs,622,0.000059,17
DynamicProgramming,622,0.000104,17
IterativeImprovement,622,0.000004,17
Greedy,622,0.000001,17
GeneticAlgorithm,622,0.070673,17
TransformAndConquer,634,0.000003,18
SpaceAndTimeTradeOffs,634,0.000056,18
DynamicProgramming,634,0.000108,18
IterativeImprovement,634,0.000002,18
Greedy,634,0.000001,18
GeneticAlgorithm,634,0.069631,18
TransformAndConquer,535,0.000002,19
SpaceAndTimeTradeOffs,535,0.000079,19
DynamicProgramming,535,0.000137,19
IterativeImprovement,535,0.000003,19
Greedy,535,0.000001,19
GeneticAlgorithm,535,0.070555,19
TransformAndConquer,789,0.000002,20
SpaceAndTimeTradeOffs,789,0.000078,20
DynamicProgramming,789,0.000145,20
IterativeImprovement,789,0.000004,20
Greedy,789,0.000010,20
GeneticAlgorithm,789,0.071311,20
TransformAndConquer,795,0.000002,21
SpaceAndTimeTradeOffs,795,0.000088,21
DynamicProgramming,795,0.000169,21
IterativeImprovement,795,0.000005,21
Greedy,795,0.000002,21
GeneticAlgorithm,795,0.072759,21
TransformAndConquer,903,0.000002,22
SpaceAndTimeTradeOffs,903,0.000099,22
DynamicProgramming,903,0.000153,22
IterativeImprovement,903,0.000004,22
Greedy,903,0.000001,22
GeneticAlgorithm,903,0.076357,22
TransformAndConquer,933,0.000002,23
SpaceAndTimeTradeOffs,933,0.000100,23
DynamicProgramming,933,0.000156,23
IterativeImprovement,933,0.000006,23
Greedy,933,0.000010,23
GeneticAlgorithm,933,0.083961,23
TransformAndConquer,930,0.000003,24
SpaceAndTimeTradeOffs,930,0.000116,24
DynamicProgramming,930,0.000198,24
IterativeImprovement,930,0.000006,24
Greedy,930,0.000001,24
GeneticAlgorithm,930,0.078430,24
TransformAndConquer,1575,0.000002,25
SpaceAndTimeTradeOffs,1575,0.000095,25
DynamicProgramming,1575,0.000164,25
IterativeImprovement,1575,0.000014,25
Greedy,1575,0.000002,25
GeneticAlgorithm,1575,0.099926,25
TransformAndConquer,929,0.000003,26
SpaceAndTimeTradeOffs,929,0.000129,26
DynamicProgramming,929,0.000223,26
IterativeImprovement,929,0.000012,26
Greedy,929,0.000010,26
GeneticAlgorithm,929,0.102748,26
TransformAndConquer,1289,0.000004,27
SpaceAndTimeTradeOffs,1289,0.000134,27
DynamicProgramming,1289,0.000219,27
IterativeImprovement,1289,0.000007,27
Greedy,1289,0.000003,27
GeneticAlgorithm,1289,0.104151,27
TransformAndConquer,1284,0.000002,28
SpaceAndTimeTradeOffs,1284,0.000147,28
DynamicProgramming,1284,0.000237,28
IterativeImprovement,1284,0.000008,28
Greedy,1284,0.000002,28
GeneticAlgorithm,1284,0.105629,28
TransformAndConquer,1241,0.000004,29
SpaceAndTimeTradeOffs,1241,0.000156,29
DynamicProgramming,1241,0.000248,29
IterativeImprovement,1241,0.000007,29
Greedy,1241,0.000002,29
GeneticAlgorithm,1241,0.108168,29
TransformAndConquer,1265,0.000004,30
SpaceAndTimeTradeOffs,1265,0.000160,30
