Algorithms,MaxCost,TimeTaken,Parameters
TransformAndConquer,151,0.000002,5
SpaceAndTimeTradeOffs,151,0.000008,5
DynamicProgramming,151,0.000013,5
IterativeImprovement,151,0.000001,5
Greedy,151,0.000002,5
GeneticAlgorithm,151,0.054343,5
TransformAndConquer,57,0.000002,6
SpaceAndTimeTradeOffs,57,0.000011,6
DynamicProgramming,57,0.000017,6
IterativeImprovement,57,0.000001,6
Greedy,57,0.000000,6
GeneticAlgorithm,57,0.041535,6
TransformAndConquer,172,0.000001,7
SpaceAndTimeTradeOffs,172,0.000015,7
DynamicProgramming,172,0.000023,7
IterativeImprovement,172,0.000001,7
Greedy,172,0.000002,7
GeneticAlgorithm,172,0.040847,7
TransformAndConquer,227,0.000001,8
SpaceAndTimeTradeOffs,227,0.000015,8
DynamicProgramming,227,0.000022,8
IterativeImprovement,227,0.000001,8
Greedy,227,0.000001,8
GeneticAlgorithm,227,0.038876,8
TransformAndConquer,262,0.000001,9
SpaceAndTimeTradeOffs,262,0.000019,9
DynamicProgramming,262,0.000051,9
IterativeImprovement,262,0.000002,9
Greedy,262,0.000000,9
GeneticAlgorithm,262,0.053460,9
TransformAndConquer,332,0.000001,10
SpaceAndTimeTradeOffs,332,0.000030,10
DynamicProgramming,332,0.000048,10
IterativeImprovement,332,0.000009,10
Greedy,332,0.000001,10
GeneticAlgorithm,332,0.052203,10
TransformAndConquer,373,0.000001,11
SpaceAndTimeTradeOffs,373,0.000028,11
DynamicProgramming,373,0.000050,11
IterativeImprovement,373,0.000002,11
Greedy,373,0.000001,11
GeneticAlgorithm,373,0.047741,11
TransformAndConquer,352,0.000001,12
SpaceAndTimeTradeOffs,352,0.000030,12
DynamicProgramming,352,0.000072,12
IterativeImprovement,352,0.000001,12
Greedy,352,0.000002,12
GeneticAlgorithm,352,0.049908,12
TransformAndConquer,346,0.000001,13
SpaceAndTimeTradeOffs,346,0.000041,13
DynamicProgramming,346,0.000060,13
IterativeImprovement,346,0.000002,13
Greedy,346,0.000001,13
GeneticAlgorithm,346,0.047468,13
TransformAndConquer,414,0.000001,14
SpaceAndTimeTradeOffs,414,0.000044,14
DynamicProgramming,414,0.000081,14
IterativeImprovement,414,0.000003,14
Greedy,414,0.000001,14
GeneticAlgorithm,414,0.047271,14
TransformAndConquer,523,0.000001,15
SpaceAndTimeTradeOffs,523,0.000056,15
DynamicProgramming,523,0.000092,15
IterativeImprovement,523,0.000002,15
Greedy,523,0.000009,15
GeneticAlgorithm,523,0.047447,15
TransformAndConquer,490,0.000002,16
SpaceAndTimeTradeOffs,490,0.000062,16
DynamicProgramming,490,0.000099,16
IterativeImprovement,490,0.000003,16
Greedy,490,0.000001,16
GeneticAlgorithm,490,0.065835,16
TransformAndConquer,622,0.000002,17
SpaceAndTimeTradeOffs,622,0.000064,17
DynamicProgramming,622,0.000102,17
IterativeImprovement,622,0.000005,17
Greedy,622,0.000002,17
GeneticAlgorithm,622,0.068063,17
TransformAndConquer,634,0.000002,18
